sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SC02_01_HOME_Page,450,267,217,500,99,1529,0.0,0.33686896022026735,2.7269388808820128
SC02_02_Enter_Access_Code,450,899,844,1149,685,2288,0.0,0.3369950970957763,2.6218196614266427
SC02_03_Click_Next_Create_Account,450,98,78,198,30,499,0.0,0.3370874891851097,1.2995505441622066
SC02_04_Click_Create_Agreement_Page,450,117,91,214,40,915,0.0,0.3371092061527674,8.44317001882755
SC02_05_Accept_Agreement,450,329,274,557,151,1464,0.0,0.33729618877793094,3.8526647031343813
SC02_06_Sumbit_Personal_Details,450,5116,4931,5920,4331,9068,0.0,0.3353184183700842,4.607217581089308
SC02_07_Click_Finish,450,249,200,437,96,1107,0.0,0.33765253453247507,1.8652137040408003
SC02_08_Signout,450,617,611,706,400,1112,0.0,0.33664139611919797,4.8415213287572545
TOTAL,3600,962,306,4650,30,9068,0.0,2.5526737129915493,28.66777291206358
