sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,6,1316,1034,1588,940,2321,0.0,0.37553983851786943,8.922983038117293
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,6,789,622,947,614,1121,0.0,0.4595236271731638,8.91882706594164
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,6,285,284,286,284,287,0.0,0.497471188127021,37.390012229500044
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,6,134,105,193,104,197,0.0,0.4767201652629906,7.27836236691562
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,6,264,219,227,208,494,0.0,0.5152868430092751,0.4604369739780144
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,6,1850,1797,1907,1655,2188,0.0,0.3028009084027252,5.801417013626041
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,6,2481,2379,2509,2347,2771,0.0,0.29130455891634705,6.03271638466767
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,6,1000,987,1022,723,1450,0.0,0.32289312237649337,1.5980686955117855
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_LOGINASINSTRUCTOR,6,3996,4124,4189,3225,4522,0.0,0.3058415740646345,12.150731311805485
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_1_SELECT_LANGUAGE,6,479,612,751,16,799,0.0,0.38704683266675266,1.169329965488324
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_CLICKCREATECLASS,6,19,18,19,16,25,0.0,0.40758100672508657,1.4166491534202839
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_SEARCH_ISBN,6,11,11,12,9,12,0.0,0.286464550011936,0.7781261190021485
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T11_SELECTCOURSEMATERIAL,6,10,10,11,9,14,0.0,0.28647822765469827,0.7291113355853706
