timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1375611061004,2,Teacher Registration - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,1464,1,1,0,1,0
1375611061021,1203,SC01_01_RUMBA_Home_Teacher,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,8305,1,1,0,1,0
1375611062457,3056,SC01_TT_3000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1455,1,1,0,1,0
1375611065514,1134,SC01_02_EnterAccessCode_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,11123,1,1,0,1,0
1375611066657,741,SC01_03_Click_Next,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9703,1,1,0,1,0
1375611067411,282,SC01_04_Click_Create,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,75948,1,1,0,1,0
1375611067702,19784,SC01_TT_20000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1539,1,1,0,1,0
1375611087487,193,SC01_05_CheckAgreement_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,15426,1,1,0,1,0
1375611087686,1943,SC01_06_Fill_Info_ClickNext,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,27930,1,1,0,1,0
1375611089653,17406,SC01_TT_17500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2190,1,1,0,1,0
1375611107060,2439,SC01_07_Click_Finish,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,23183,1,1,0,1,0
1375611109521,16187,XX_Click_GoTo_Product,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,152252,1,1,0,1,0
1375611125844,5551,SC01_TT_5500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2739,1,1,0,1,0
1375611131396,17489,SC01_09_Enter_CountryLanguageTZone_ClickSave,200,"Number of samples in transaction : 7, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21192,1,1,0,1,0
1375611148932,612,SC01_10_Signout_Teacher,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9420,1,1,0,1,0
1375611149560,1,Executing Teacher Completes Registration via nMEL Login and Creates Course - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2739,1,1,0,1,0
1375611149566,0,Initialise SC02_STATUS_Q to - FAILED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2738,1,1,0,1,0
1375611149567,591,SC02_01_nMEL_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9733,1,1,0,1,0
1375611150173,6669,SC02_02_nMEL_Login,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,34508,1,1,0,1,0
1375611156880,1981,SC02_02_Click_Settings,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9630,1,1,0,1,0
1375611158883,908,SC02_03_Click_CreateNewCourse,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,19516,1,1,0,1,0
1375611159807,7714,SC02_TT_7500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3224,1,1,0,1,0
1375611167523,3676,SC02_04_AddCourseNameEndDate_ClickCreateCourse,200,"Number of samples in transaction : 5, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,28512,1,1,0,1,0
1375611171224,3622,SC02_TT_3500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3554,1,1,0,1,0
1375611174847,5032,SC02_05_Click_Print,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21024,1,1,0,1,0
1375611179891,10016,SC02_TT_10000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3732,1,1,0,1,0
1375611189908,1605,SC02_08_nMEL_Logout,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,12919,1,1,0,1,0
1375611191531,0,Pop SC02_STATUS_Q - FAILED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,3735,1,1,0,1,0
1375611191534,0,Put SC02_STATUS_Q - PASSED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,3735,1,1,0,1,0
1375611191582,0,Student Registration - Thread - 1,200,OK,TG - Student Registration 2-1,text,true,,1469,1,1,0,1,0
1375611191591,1,STUDENT ID : 9900,200,OK,TG - Student Registration 2-1,text,true,,1481,1,1,0,1,0
1375611191642,0,Student Registration - Thread - 2,200,OK,TG - Student Registration 2-2,text,true,,1469,2,2,0,1,0
1375611191646,0,STUDENT ID : 9901,200,OK,TG - Student Registration 2-2,text,true,,1481,2,2,0,1,0
1375611191675,0,Student Registration - Thread - 3,200,OK,TG - Student Registration 2-3,text,true,,1469,3,3,0,1,0
1375611191680,0,STUDENT ID : 9902,200,OK,TG - Student Registration 2-3,text,true,,1481,3,3,0,1,0
1375611191720,0,Student Registration - Thread - 4,200,OK,TG - Student Registration 2-4,text,true,,1469,4,4,0,1,0
1375611191723,1,STUDENT ID : 9903,200,OK,TG - Student Registration 2-4,text,true,,1479,4,4,0,1,0
1375611191765,0,Student Registration - Thread - 5,200,OK,TG - Student Registration 2-5,text,true,,1468,5,5,0,1,0
1375611191772,0,STUDENT ID : 9904,200,OK,TG - Student Registration 2-5,text,true,,1481,5,5,0,1,0
1375611191802,0,Student Registration - Thread - 6,200,OK,TG - Student Registration 2-6,text,true,,1469,6,6,0,1,0
1375611191808,0,STUDENT ID : 9905,200,OK,TG - Student Registration 2-6,text,true,,1481,6,6,0,1,0
1375611191839,0,Student Registration - Thread - 7,200,OK,TG - Student Registration 2-7,text,true,,1469,7,7,0,1,0
1375611191844,0,STUDENT ID : 9906,200,OK,TG - Student Registration 2-7,text,true,,1481,7,7,0,1,0
1375611191881,0,Student Registration - Thread - 8,200,OK,TG - Student Registration 2-8,text,true,,1469,8,8,0,1,0
1375611191887,0,STUDENT ID : 9907,200,OK,TG - Student Registration 2-8,text,true,,1480,8,8,0,1,0
1375611191920,0,Student Registration - Thread - 9,200,OK,TG - Student Registration 2-9,text,true,,1469,9,9,0,1,0
