timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1375611090991,1,Teacher Registration - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,1462,1,1,0,1,0
1375611091007,1189,SC01_01_RUMBA_Home_Teacher,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,8285,1,1,0,1,0
1375611092431,2988,SC01_TT_3000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1452,1,1,0,1,0
1375611095420,962,SC01_02_EnterAccessCode_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,11120,1,1,0,1,0
1375611096391,570,SC01_03_Click_Next,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9703,1,1,0,1,0
1375611096973,281,SC01_04_Click_Create,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,75948,1,1,0,1,0
1375611097262,19999,SC01_TT_20000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1536,1,1,0,1,0
1375611117264,195,SC01_05_CheckAgreement_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,15426,1,1,0,1,0
1375611117466,2075,SC01_06_Fill_Info_ClickNext,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,27961,1,1,0,1,0
1375611119565,17577,SC01_TT_17500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2187,1,1,0,1,0
1375611137143,2107,SC01_07_Click_Finish,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,23174,1,1,0,1,0
1375611139272,15191,XX_Click_GoTo_Product,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,152308,1,1,0,1,0
1375611154606,5647,SC01_TT_5500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2730,1,1,0,1,0
1375611160254,18148,SC01_09_Enter_CountryLanguageTZone_ClickSave,200,"Number of samples in transaction : 7, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21186,1,1,0,1,0
1375611178452,708,SC01_10_Signout_Teacher,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9421,1,1,0,1,0
1375611179176,1,Executing Teacher Completes Registration via nMEL Login and Creates Course - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2730,1,1,0,1,0
1375611179181,1,Initialise SC02_STATUS_Q to - FAILED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2730,1,1,0,1,0
1375611179183,616,SC02_01_nMEL_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9732,1,1,0,1,0
1375611179813,6654,SC02_02_nMEL_Login,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,34431,1,1,0,1,0
1375611186509,1947,SC02_02_Click_Settings,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9637,1,1,0,1,0
1375611188478,1100,SC02_03_Click_CreateNewCourse,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,19488,1,1,0,1,0
1375611189593,7487,SC02_TT_7500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3212,1,1,0,1,0
1375611197081,3222,SC02_04_AddCourseNameEndDate_ClickCreateCourse,200,"Number of samples in transaction : 5, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,28487,1,1,0,1,0
1375611200331,3507,SC02_TT_3500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3543,1,1,0,1,0
