timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1375611076092,1,Teacher Registration - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,1464,1,1,0,1,0
1375611076108,1220,SC01_01_RUMBA_Home_Teacher,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,8305,1,1,0,1,0
1375611077567,3051,SC01_TT_3000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1456,1,1,0,1,0
1375611080619,765,SC01_02_EnterAccessCode_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,11123,1,1,0,1,0
1375611081407,745,SC01_03_Click_Next,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9703,1,1,0,1,0
1375611082165,282,SC01_04_Click_Create,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,75948,1,1,0,1,0
1375611082456,19798,SC01_TT_20000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1539,1,1,0,1,0
1375611102254,203,SC01_05_CheckAgreement_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,15426,1,1,0,1,0
1375611102463,2148,SC01_06_Fill_Info_ClickNext,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,27977,1,1,0,1,0
1375611104635,17678,SC01_TT_17500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2189,1,1,0,1,0
1375611122315,2428,SC01_07_Click_Finish,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,23203,1,1,0,1,0
1375611124789,15130,XX_Click_GoTo_Product,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,152316,1,1,0,1,0
1375611140059,5422,SC01_TT_5500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2739,1,1,0,1,0
1375611145482,17618,SC01_09_Enter_CountryLanguageTZone_ClickSave,200,"Number of samples in transaction : 7, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21192,1,1,0,1,0
1375611163151,675,SC01_10_Signout_Teacher,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9421,1,1,0,1,0
1375611163843,0,Executing Teacher Completes Registration via nMEL Login and Creates Course - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2739,1,1,0,1,0
1375611163848,0,Initialise SC02_STATUS_Q to - FAILED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,2739,1,1,0,1,0
1375611163850,796,SC02_01_nMEL_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9733,1,1,0,1,0
1375611164660,7054,SC02_02_nMEL_Login,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,34498,1,1,0,1,0
1375611171753,2284,SC02_02_Click_Settings,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9635,1,1,0,1,0
1375611174059,864,SC02_03_Click_CreateNewCourse,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,19517,1,1,0,1,0
1375611174937,7409,SC02_TT_7500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3224,1,1,0,1,0
1375611182347,3737,SC02_04_AddCourseNameEndDate_ClickCreateCourse,200,"Number of samples in transaction : 5, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,28515,1,1,0,1,0
1375611186120,3549,SC02_TT_3500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3554,1,1,0,1,0
1375611189670,4756,SC02_05_Click_Print,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21023,1,1,0,1,0
1375611194439,9737,SC02_TT_10000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,3732,1,1,0,1,0
1375611204176,1545,SC02_08_nMEL_Logout,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,12921,1,1,0,1,0
1375611205739,0,Pop SC02_STATUS_Q - FAILED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,3735,1,1,0,1,0
1375611205742,0,Put SC02_STATUS_Q - PASSED,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,3735,1,1,0,1,0
1375611205800,0,Student Registration - Thread - 1,200,OK,TG - Student Registration 2-1,text,true,,1469,1,1,0,1,0
1375611205809,0,STUDENT ID : 9950,200,OK,TG - Student Registration 2-1,text,true,,1481,1,1,0,1,0
1375611205844,0,Student Registration - Thread - 2,200,OK,TG - Student Registration 2-2,text,true,,1469,2,2,0,1,0
1375611205847,0,STUDENT ID : 9951,200,OK,TG - Student Registration 2-2,text,true,,1481,2,2,0,1,0
1375611205901,0,Student Registration - Thread - 3,200,OK,TG - Student Registration 2-3,text,true,,1469,3,3,0,1,0
1375611205905,0,STUDENT ID : 9952,200,OK,TG - Student Registration 2-3,text,true,,1481,3,3,0,1,0
1375611205947,1,Student Registration - Thread - 4,200,OK,TG - Student Registration 2-4,text,true,,1469,4,4,0,1,0
1375611205951,0,STUDENT ID : 9953,200,OK,TG - Student Registration 2-4,text,true,,1481,4,4,0,1,0
1375611205990,0,Student Registration - Thread - 5,200,OK,TG - Student Registration 2-5,text,true,,1469,5,5,0,1,0
1375611206006,1,STUDENT ID : 9954,200,OK,TG - Student Registration 2-5,text,true,,1481,5,5,0,1,0
1375611206033,0,Student Registration - Thread - 6,200,OK,TG - Student Registration 2-6,text,true,,1469,6,6,0,1,0
1375611206036,0,STUDENT ID : 9955,200,OK,TG - Student Registration 2-6,text,true,,1481,6,6,0,1,0
1375611206083,0,Student Registration - Thread - 7,200,OK,TG - Student Registration 2-7,text,true,,1469,7,7,0,1,0
1375611206086,0,STUDENT ID : 9956,200,OK,TG - Student Registration 2-7,text,true,,1481,7,7,0,1,0
1375611206123,0,Student Registration - Thread - 8,200,OK,TG - Student Registration 2-8,text,true,,1469,8,8,0,1,0
1375611206127,0,STUDENT ID : 9957,200,OK,TG - Student Registration 2-8,text,true,,1481,8,8,0,1,0
1375611206164,0,Student Registration - Thread - 9,200,OK,TG - Student Registration 2-9,text,true,,1469,9,9,0,1,0
1375611206168,1,STUDENT ID : 9958,200,OK,TG - Student Registration 2-9,text,true,,1486,9,9,0,1,0
1375611206210,0,Student Registration - Thread - 10,200,OK,TG - Student Registration 2-10,text,true,,1474,10,10,0,1,0
1375611206245,0,STUDENT ID : 9959,200,OK,TG - Student Registration 2-10,text,true,,1487,10,10,0,1,0
1375611206260,0,Student Registration - Thread - 11,200,OK,TG - Student Registration 2-11,text,true,,1475,11,11,0,1,0
1375611206273,0,STUDENT ID : 9960,200,OK,TG - Student Registration 2-11,text,true,,1486,11,11,0,1,0
1375611206296,0,Student Registration - Thread - 12,200,OK,TG - Student Registration 2-12,text,true,,1475,12,12,0,1,0
1375611206300,1,STUDENT ID : 9961,200,OK,TG - Student Registration 2-12,text,true,,1487,12,12,0,1,0
