sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,20,1018,943,1259,861,1847,0.0,0.34458993797381116,8.184313889128187
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,20,612,533,815,427,1100,0.0,0.35042225882188033,6.8011177101219475
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,20,298,286,288,273,550,0.0,0.35588455105163885,26.748338464002277
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,20,246,193,493,104,699,0.0,0.35588455105163885,5.433495186661447
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,20,226,214,224,204,412,0.0,0.3451548882561049,0.3073530125550091
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,20,1812,1807,1848,1694,2108,0.0,0.3289257285704888,6.302493205627919
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,20,2466,2458,2616,2264,2832,0.0,0.32609936247574633,6.752199387340823
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,20,1075,1099,1296,573,1378,0.0,0.32465424323095904,1.606784867865723
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_LOGINASINSTRUCTOR,20,3274,3235,3460,2859,4605,0.0,0.32991867504660105,13.10703425277544
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_1_SELECT_LANGUAGE,20,86,15,20,14,770,0.0,0.3569325219067335,1.0782394693751896
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_CLICKCREATECLASS,20,45,17,24,15,553,0.0,0.35832019492618605,1.2467898149724093
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_SEARCH_ISBN,20,11,11,12,9,13,0.0,0.32847194849559846,0.8922632538431218
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T11_SELECTCOURSEMATERIAL,20,44,10,11,9,705,0.0,0.32847734327524764,0.8359812542086159
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T12_CREATECLASS,20,56,49,103,19,136,0.0,0.33786066626123384,0.9004283703713089
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T13_GOTOMYWORKSPACE,20,1219,1226,1296,908,1584,0.0,0.3223155146572981,16.26472075389599
